country	income_2019
AFG	L
ALB	M
DZA	L
ASM	M
AND	H
AGO	L
ATG	H
ARG	M
ARM	M
ABW	H
AUS	H
AUT	H
AZE	M
BHS	H
BHR	H
BGD	L
BRB	H
BLR	M
BEL	H
BLZ	M
BEN	L
BMU	H
BTN	L
BOL	L
BIH	M
BWA	M
BRA	M
VGB	H
BRN	H
BGR	M
BFA	L
BDI	L
CPV	L
KHM	L
CMR	L
CAN	H
CYM	H
CAF	L
TCD	L
CHI	H
CHL	H
CHN	M
COL	M
COM	L
COD	L
COG	L
CRI	M
CIV	L
HRV	H
CUB	M
CUW	H
CYP	H
CZE	H
DNK	H
DJI	L
DMA	M
DOM	M
ECU	M
EGY	L
SLV	L
GNQ	M
ERI	L
EST	H
SWZ	L
ETH	L
FRO	H
FJI	M
FIN	H
FRA	H
PYF	H
GAB	M
GMB	L
GEO	M
DEU	H
GHA	L
GIB	H
GRC	H
GRL	H
GRD	M
GUM	H
GTM	M
GIN	L
GNB	L
GUY	M
HTI	L
HND	L
HKG	H
HUN	H
ISL	H
IND	L
IDN	M
IRN	M
IRQ	M
IRL	H
IMN	H
ISR	H
ITA	H
JAM	M
JPN	H
JOR	M
KAZ	M
KEN	L
KIR	L
PRK	L
KOR	H
XKX	M
KWT	H
KGZ	L
LAO	L
LVA	H
LBN	M
LSO	L
LBR	L
LBY	M
LIE	H
LTU	H
LUX	H
MAC	H
MDG	L
MWI	L
MYS	M
MDV	M
MLI	L
MLT	H
MHL	M
MRT	L
MUS	H
MEX	M
FSM	L
MDA	L
MCO	H
MNG	L
MNE	M
MAR	L
MOZ	L
MMR	L
NAM	M
NRU	H
NPL	L
NLD	H
NCL	H
NZL	H
NIC	L
NER	L
NGA	L
MKD	M
MNP	H
NOR	H
OMN	H
PAK	L
PLW	H
PAN	H
PNG	L
PRY	M
PER	M
PHL	L
POL	H
PRT	H
PRI	H
QAT	H
ROU	H
RUS	M
RWA	L
WSM	M
SMR	H
STP	L
SAU	H
SEN	L
SRB	M
SYC	H
SLE	L
SGP	H
SXM	H
SVK	H
SVN	H
SLB	L
SOM	L
ZAF	M
SSD	L
ESP	H
LKA	L
KNA	H
LCA	M
MAF	H
VCT	M
SDN	L
SUR	M
SWE	H
CHE	H
SYR	L
TWN	H
TJK	L
TZA	L
THA	M
TLS	L
TGO	L
TON	M
TTO	H
TUN	L
TUR	M
TKM	M
TCA	H
TUV	M
UGA	L
UKR	L
ARE	H
GBR	H
USA	H
URY	H
UZB	L
VUT	L
VEN	M
VNM	L
VIR	H
PSE	L
YEM	L
ZMB	L
ZWE	L
